สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
ฮ่องกง,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
รวมทุกสินค้า,"402,289.9","416,257.4","416,257.4","401,767.8",0.62,3.47,3.47,-3.48,100.00,100.00,100.00,100.00
" 1. สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)","19,004.4","17,750.9","17,750.9","20,102.5",-1.29,-6.60,-6.60,13.25,4.72,4.26,4.26,5.00
  1.1 สินค้ากสิกรรม,"14,027.4","12,766.6","12,766.6","14,763.7",-2.05,-8.99,-8.99,15.64,3.49,3.07,3.07,3.67
   1.1.1 ข้าว,"5,897.4","5,688.3","5,688.3","6,276.0",-1.23,-3.55,-3.55,10.33,1.47,1.37,1.37,1.56
    (1) ข้าวขาว,575.6,626.3,626.3,689.5,0.42,8.80,8.80,10.09,0.14,0.15,0.15,0.17
     (1.1) ข้าวขาว 100%,533.1,495.5,495.5,520.2,1.14,-7.04,-7.04,4.98,0.13,0.12,0.12,0.13
     (1.2) ข้าวขาว 5-10%,33.8,48.7,48.7,26.7,-14.74,44.16,44.16,-45.19,0.01,0.01,0.01,0.01
     (1.3) ข้าวขาว 15-20%,3.1,66.9,66.9,89.7,,"2,090.42","2,090.42",34.04,0.00,0.02,0.02,0.02
     (1.4) ข้าวขาว 25-35%,0.3,4.9,4.9,16.2,-38.68,"1,326.95","1,326.95",233.71,0.00,0.00,0.00,0.00
     (1.5) ข้าวขาว 40-45%,,,,,,,,,,,,
     (1.6) ข้าวขาวอื่นๆ,5.3,10.2,10.2,36.6,-10.31,91.19,91.19,257.80,0.00,0.00,0.00,0.01
    (2) ข้าวหอมมะลิ,"4,985.9","4,767.9","4,767.9","5,301.3",-1.71,-4.37,-4.37,11.19,1.24,1.15,1.15,1.32
     (2.1) ข้าวหอมมะลิ 100%,"4,984.5","4,766.2","4,766.2","5,299.0",-1.68,-4.38,-4.38,11.18,1.24,1.15,1.15,1.32
     (2.2) ข้าวหอมมะลิ 5-10%,1.4,1.7,1.7,2.3,-51.15,21.11,21.11,38.13,0.00,0.00,0.00,0.00
     (2.3) ข้าวหอมมะลิ 15-20%,,,,,,,,,,,,
    (3) ปลายข้าว,20.2,22.4,22.4,28.9,-4.86,10.61,10.61,28.95,0.01,0.01,0.01,0.01
     (3.1) ปลายข้าวขาว,16.2,16.2,16.2,14.5,2.21,-0.01,-0.01,-10.52,0.00,0.00,0.00,0.00
     (3.2) ปลายข้าวหอมมะลิ,4.0,6.1,6.1,14.1,-25.78,53.89,53.89,129.84,0.00,0.00,0.00,0.00
     (3.3) ปลายข้าวอื่น ๆ,0.0,0.0,0.0,0.2,0.00,0.00,0.00,"223,400.00",0.00,0.00,0.00,0.00
    (4) ข้าวเหนียว,203.1,157.4,157.4,145.7,11.64,-22.54,-22.54,-7.40,0.05,0.04,0.04,0.04
    (5) ข้าวนึ่ง,,0.0,0.0,,,,,,,0.00,0.00,
    (6) ข้าวกล้อง,112.1,110.0,110.0,108.7,-7.48,-1.88,-1.88,-1.17,0.03,0.03,0.03,0.03
     (6.1) ข้าวกล้องขาว,0.3,0.6,0.6,0.7,-44.17,148.99,148.99,6.33,0.00,0.00,0.00,0.00
     (6.2) ข้าวกล้องหอมมะลิ,39.3,33.8,33.8,37.8,4.86,-13.99,-13.99,11.87,0.01,0.01,0.01,0.01
     (6.3) ข้าวกล้องเจ้าสีดำ สีม่วงดำ และสีม่วง,,,,,,,,,,,,
     (6.4) ข้าวกล้องเจ้าสีแดง,,,,,,,,,,,,
     (6.5) ข้าวกล้องเหนียวสีดำ สีม่วงดำ สีม่วง และสีแดง,,,,,,,,,,,,
