สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
เมียนม่า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
รวมทุกสินค้า,"146,534.6","146,142.3","146,142.3","148,185.6",4.16,-0.27,-0.27,1.40,100.00,100.00,100.00,100.00
" 1. สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)","3,770.1","4,459.6","4,459.6","5,630.3",27.78,18.29,18.29,26.25,2.57,3.05,3.05,3.80
  1.1 สินค้ากสิกรรม,"3,173.2","3,401.2","3,401.2","4,155.1",24.99,7.18,7.18,22.17,2.17,2.33,2.33,2.80
   1.1.1 ข้าว,420.4,72.7,72.7,96.3,212.38,-82.70,-82.70,32.39,0.29,0.05,0.05,0.06
    (1) ข้าวขาว,350.0,45.8,45.8,33.3,292.26,-86.92,-86.92,-27.23,0.24,0.03,0.03,0.02
     (1.1) ข้าวขาว 100%,2.4,1.8,1.8,3.4,,-23.78,-23.78,91.10,0.00,0.00,0.00,0.00
     (1.2) ข้าวขาว 5-10%,329.8,37.1,37.1,28.9,474.57,-88.75,-88.75,-22.06,0.23,0.03,0.03,0.02
     (1.3) ข้าวขาว 15-20%,7.8,0.5,0.5,,-59.42,-94.25,-94.25,,0.01,0.00,0.00,
     (1.4) ข้าวขาว 25-35%,7.5,5.8,5.8,1.0,-7.53,-23.17,-23.17,-83.27,0.01,0.00,0.00,0.00
     (1.5) ข้าวขาว 40-45%,2.5,,,,-43.59,,,,0.00,,,
     (1.6) ข้าวขาวอื่นๆ,,0.7,0.7,,,,,,,0.00,0.00,
    (2) ข้าวหอมมะลิ,1.0,0.3,0.3,0.5,-73.55,-72.84,-72.84,90.10,0.00,0.00,0.00,0.00
     (2.1) ข้าวหอมมะลิ 100%,1.0,0.3,0.3,0.5,40.20,-72.84,-72.84,90.10,0.00,0.00,0.00,0.00
     (2.2) ข้าวหอมมะลิ 5-10%,,,,,,,,,,,,
     (2.3) ข้าวหอมมะลิ 15-20%,,,,,,,,,,,,
    (3) ปลายข้าว,3.7,,,,-52.35,,,,0.00,,,
     (3.1) ปลายข้าวขาว,,,,,,,,,,,,
     (3.2) ปลายข้าวหอมมะลิ,,,,,,,,,,,,
     (3.3) ปลายข้าวอื่น ๆ,3.7,,,,-50.30,,,,0.00,,,
    (4) ข้าวเหนียว,65.8,26.7,26.7,62.5,165.00,-59.46,-59.46,134.20,0.04,0.02,0.02,0.04
    (5) ข้าวนึ่ง,,,,,,,,,,,,
    (6) ข้าวกล้อง,,0.0,0.0,,,,,,,0.00,0.00,
     (6.1) ข้าวกล้องขาว,,,,,,,,,,,,
     (6.2) ข้าวกล้องหอมมะลิ,,0.0,0.0,,,,,,,0.00,0.00,
     (6.3) ข้าวกล้องเจ้าสีดำ สีม่วงดำ และสีม่วง,,,,,,,,,,,,
     (6.4) ข้าวกล้องเจ้าสีแดง,,,,,,,,,,,,
     (6.5) ข้าวกล้องเหนียวสีดำ สีม่วงดำ สีม่วง และสีแดง,,,,,,,,,,,,
     (6.6) ข้าวกล้องสี,,,,,,,,,,,,
     (6.7) ข้าวกล้องอื่น ๆ,,,,,,,,,,,,
    (7) ข้าวอื่นๆ,,,,,,,,,,,,
   1.1.2 ข้าวโพด,361.2,430.9,430.9,449.5,-17.52,19.29,19.29,4.31,0.25,0.29,0.29,0.30
    (1) ข้าวโพดสำหรับบริโภค,0.0,,,1.7,-99.38,,,,0.00,,,0.00
    (2) ข้าวโพดสำหรับเลี้ยงสัตว์,,0.3,0.3,0.5,,,,53.73,,0.00,0.00,0.00
