"Name","Gross Import","Share"
"Brazil","10619","1.9421470976615225"
"China","14474","2.6472019108722926"
"Colombia","12743","2.3306130959130598"
"Ecuador","11690","2.138026139152764"
"Ghana","277","0.050661526137323824"
"Guatemala","32332","5.913315751162289"
"India","3985","0.7288309807120413"
"Sri Lanka","81424","14.891928174026914"
"New Zealand","2188","0.4001711884060091"
"Philippines","76922","14.068541204098281"
"Thailand","151427","27.695028586269082"
"United States of America","28469","5.206797789182209"
"Vietnam","116277","21.2663186811177"
"Samoa","3939","0.7204178752885146"
