"Name","Gross Import","Share"
"Brazil","100973","2.3489259978858668"
"China","129772","3.0188745961558503"
"Ecuador","21419","0.4982683088421398"
"Fiji","2321","0.053993218395938486"
"India","1030038","23.961683192639242"
"Sri Lanka","18974","0.4413904893772239"
"Mexico","677925","15.770509513600429"
"New Zealand","3661","0.08516552027037086"
"Pakistan","87837","2.043344387869043"
"Philippines","151832","3.5320544314916553"
"Singapore","1010","0.023495540965057245"
"Thailand","1338825","31.144967953012642"
"United States of America","400125","9.308072602617356"
"Vietnam","256282","5.96186557386812"
"South Africa","75371","1.7533489287894353"
"Taiwan","2323","0.05403974421963166"
