"Name","Gross Import","Share"
"United Arab Emirates","2513","0.019463888754852512"
"Belgium","290021","2.246293864134931"
"Cyprus","5472","0.04238217241008872"
"Germany","26962","0.2088282405922537"
"Denmark","65958","0.5108631812545015"
"France","177038","1.3712088887312295"
"United Kingdom","18433","0.14276874708244983"
"Italy","1550400","12.008282182858473"
"New Zealand","10214293","79.1125597538674"
"Philippines","521016","4.035414828292176"
"Singapore","6746","0.052249659188314784"
"Thailand","5020","0.03888130582943081"
"United States of America","27217","0.21080328700390805"
