"Name","Gross Import","Share"
"United Arab Emirates","2877","0.007572210581991894"
"Australia","5892","0.015507634601701856"
"Belgium","1118","0.002942555241802898"
"Chile","24230","0.06377291011528105"
"China","4068999","10.70952981783609"
"Ecuador","5526950","14.546829779680257"
"France","1759","0.004629655340188996"
"United Kingdom","7104","0.018697596098182275"
"Indonesia","45252","0.11910242379433338"
"Japan","16861","0.044377838937422774"
"Mexico","168737","0.44411265101618563"
"Philippines","27503628","72.3890382289776"
"Thailand","587938","1.547441899602068"
"United States of America","8198","0.021576983785599423"
"Vietnam","5505","0.014489057787231622"
"Taiwan","19141","0.05037875660406911"
