"Name","Gross Import","Share"
"Australia","695377","12.38194782636566"
"China","2774675","49.40612226910171"
"Germany","1237","0.02202613756453596"
"India","52739","0.9390755610477461"
"Japan","43010","0.7658400781331379"
"Myanmar","276863","4.929848443435828"
"New Zealand","2669","0.04752446334660184"
"Singapore","62532","1.113450633941441"
"Thailand","916856","16.3256235916493"
"Tanzania","743051","13.230835524224746"
"United States of America","42069","0.7490845442218782"
"Taiwan","4977","0.08862092696741752"
