"Name","Gross Import","Share"
"Australia","1206358","0.5165846621342036"
"Bangladesh","110272","0.0472204966211215"
"Botswana","2824","0.0012092886903116579"
"Canada","2826869","1.2105172488288334"
"Chile","1043998","0.4470591268087783"
"China","86365763","36.983406666443706"
"Colombia","59709","0.025568490938321094"
"Egypt","9746","0.004173416280374439"
"Spain","14817","0.006344911658763396"
"Finland","1445","0.0006187755515227851"
"Fiji","29361","0.012572919701218335"
"France","3509066","1.5026465394324249"
"United Kingdom","3541303","1.5164510151794421"
"Greece","4509","0.0019308366517759436"
"Guyana","36237","0.01551734924604233"
"Indonesia","3754867","1.6079030441658864"
"India","2251704","0.9642210273121534"
"Ireland","863423","0.369733593787168"
"Iran","280897","0.12028525681390713"
"Iceland","13381","0.005729990072613419"
"Italy","732589","0.31370807094430847"
"Japan","20334601","8.707649791536872"
"Cambodia","18064","0.0077353367215969495"
"South Korea","1230993","0.5271338217963238"
"Sri Lanka","270144","0.11568062463015315"
"Macao","110058","0.04712885788892367"
"Maldives","554080","0.23726723708494452"
"Mexico","39696","0.016998556604324207"
"Malta","4465","0.0019119950432866684"
"Myanmar","855485","0.36633439632835285"
"Mauritania","16423","0.007032630368621939"
"Mauritius","36172","0.015489515051683174"
"Malaysia","394163","0.16878783924904886"
"Netherlands","752669","0.322306695909414"
"Norway","88798384","38.02509967746164"
"New Zealand","656541","0.28114291998084495"
"Pakistan","193059","0.08267141121206739"
"Panama","8885","0.0038047202597093054"
"Philippines","4221645","1.8077859606978608"
"North Korea","3800","0.0016272298240737604"
"Russia","7001","0.002997956841668525"
"Senegal","45570","0.019513911337642437"
"Singapore","75696","0.032414418095549305"
"Sweden","28974","0.012407199190187667"
"Thailand","271380","0.11620990254135187"
"Turkey","42444","0.01817530069815439"
"United States of America","171600","0.07348227310817297"
"South Africa","1715","0.0007343945127069734"
"Taiwan","7377365","3.1591232502836624"
"Undeclared","345500","0.1479494484782853"
