"Name","Gross Import","Share"
"Australia","8751365","17.091393150193607"
"Belgium","2174","0.004245816362192743"
"Bangladesh","4438","0.008667402490989603"
"Brazil","26932","0.052598126157578175"
"Canada","992","0.0019373734274586944"
"Chile","73659","0.1438558359810282"
"China","18457414","36.047281676617025"
"Germany","4959","0.00968491413988676"
"Ecuador","8149","0.015914975867299296"
"Egypt","4282","0.008362734895542468"
"Spain","6930","0.013534272028516888"
"United Kingdom","36629","0.07153634201046825"
"Indonesia","150570","0.29406281952868507"
"India","538017","1.0507458057671817"
"Israel","120600","0.23553148724951467"
"Japan","115397","0.22537004174239006"
"Kenya","9039","0.017653143559273325"
"Cambodia","269284","0.5259109536691402"
"South Korea","11250","0.021971220825514427"
"Myanmar","3132","0.006116787877823217"
"Malaysia","48926","0.09555235112081056"
"Netherlands","10919","0.021324778683892626"
"New Zealand","2411","0.004708676747583581"
"Pakistan","215263","0.42040808076112995"
"Panama","8315","0.01623917343681355"
"Peru","26506","0.051766149262318706"
"Philippines","13686484","26.729667759010667"
"Singapore","25308","0.04942645836907726"
"Sweden","2005","0.003915759800458349"
"Thailand","5370834","10.489224873882751"
"United States of America","48331","0.0943903176638167"
"Vietnam","131265","0.25636020459210235"
"South Africa","137297","0.2681406849493915"
"Taiwan","2894269","5.652499851328073"
