"Name","Gross Import","Share"
"China","2024375","21.483584869698177"
"Costa Rica","10589","0.11237526653176115"
"France","2150","0.022816774298166635"
"United Kingdom","3650","0.038735454041073585"
"Indonesia","159926","1.6972071843760916"
"Japan","34906","0.3704382900706068"
"South Korea","6736","0.07148548449881416"
"Mauritius","2271","0.02410088113076113"
"Malaysia","20266","0.2150719757798349"
"Netherlands","4901","0.05201163294665799"
"Philippines","6500887","68.99035879855144"
"Thailand","441242","4.682660058079834"
"United States of America","11773","0.12494041107549572"
"Vietnam","4500","0.04775603922872087"
"South Africa","2336","0.0247906905862871"
"Taiwan","192384","2.0416661891062744"
