"Name","Gross Import","Share"
"Australia","3403289","4.447082500343858"
"Chile","12695","0.016588574270908315"
"France","65393","0.08544912463942554"
"Faroe Islands","133008","0.17380173978928498"
"United Kingdom","297873","0.3892310660731211"
"Japan","1106238","1.4455227431509312"
"South Korea","5492","0.007176404087895113"
"Myanmar","367007","0.4795685606493303"
"Malaysia","550827","0.7197664119670432"
"Netherlands","41877","0.054720734520900156"
"Norway","14937370","19.51868228885685"
"Pakistan","799570","1.0447992382662592"
"Philippines","313275","0.40935688103338336"
"Singapore","2445977","3.1961615698647896"
"United States of America","317453","0.414816279481895"
"Taiwan","51731234","67.59727588300413"
