"Name","Gross Import","Share"
"Australia","722340257","36.23058628181045"
"Austria","3695","0.0001853309642013897"
"Belgium","6151","0.0003085171206502701"
"Brazil","4192","0.00021025910742414767"
"Canada","41011248","2.0570105913240364"
"France","1087576","0.05454979938356986"
"United Kingdom","8917","0.0004472520183447339"
"Ireland","37765","0.0018941877843208343"
"Italy","795067","0.03987835824484609"
"Mexico","19819488","0.9940906146191808"
"Netherlands","10207","0.0005119548448182909"
"New Zealand","56506652","2.8342171309749356"
"United States of America","1152099307","57.786109721803214"
