"Name","Gross Import","Share"
"American Samoa","16427","0.0035741744838397706"
"Australia","23830959","5.1851223950345"
"Brazil","28789","0.006263889280773309"
"Canada","11821740","2.572165426589637"
"Chile","187757","0.040852028889164414"
"China","11617390","2.5277031050596768"
"Cook Islands","176273","0.03835334868143227"
"Cyprus","9684","0.0021070375419434064"
"Germany","3911","0.0008509524810554175"
"Denmark","1606783","0.34960265414668035"
"Algeria","11636","0.002531752255065415"
"Spain","46966549","10.218946918476307"
"Fiji","696014","0.1514382102146012"
"France","1342902","0.29218762176279267"
"Micronesia","1986","0.0004321124079202401"
"United Kingdom","4281588","0.9315847434050377"
"Greece","654255","0.14235231794756126"
"Guam","78678","0.017118700921625703"
"Hong Kong","18604","0.0040478445301853705"
"Croatia","23628160","5.1409975389348945"
"Indonesia","35022570","7.620184820873697"
"India","28748","0.006254968531163677"
"Ireland","59779","0.013006670510102738"
"Iceland","350033","0.0761599206855717"
"Italy","34759","0.007562837455639288"
"South Korea","29566055","6.4329603316980135"
"Libya","74884","0.016293205213846557"
"Sri Lanka","5555127","1.2086804150416615"
"Morocco","12493168","2.7182542331480817"
"Maldives","378614","0.08237855348052053"
"Mexico","35367332","7.695197881286285"
"Marshall Islands","2861360","0.6225725878784785"
"Malta","132575","0.028845570231634355"
"Myanmar","1633360","0.355385258107051"
"Mozambique","3596","0.0007824150145423884"
"Mauritius","83770","0.01822661450729029"
"New Caledonia","2668775","0.5806700863279651"
"Norway","113837282","24.768631438124576"
"New Zealand","9910115","2.156235476040529"
"Pakistan","20052","0.0043628992968865335"
"Panama","110682","0.024082107519349454"
"Philippines","1963487","0.4272140460675169"
"Palau","6759541","1.4707359204157038"
"Papua New Guinea","3048060","0.6631946354911213"
"Portugal","2210200","0.4808936777368151"
"French Polynesia","238319","0.051853271371170045"
"Russia","852970","0.18558858035434403"
"Solomon Islands","31960","0.006953833110337802"
"Seychelles","11277","0.002453641301166439"
"Syria","15596","0.003393366119800637"
"Thailand","7704381","1.6763135072733872"
"Tonga","744274","0.1619385852429148"
"Tunisia","9932","0.0021609971981187436"
"Turkey","36317304","7.901892084899983"
"United States of America","14964417","3.2559467588079434"
"Vietnam","1273562","0.27710067595957544"
"Samoa","261653","0.05693026579534471"
"South Africa","1111354","0.24180757955276463"
"Taiwan","4909949","1.0683030640259692"
"Undeclared","1675","0.00036444525844229716"
