"Name","Gross Import","Share"
"Australia","429029","1.654639778415129"
"Burkina Faso","14562","0.056161388748269016"
"Brazil","741293","2.8589509922655254"
"China","22712","0.08759356278331863"
"Germany","3984","0.015365126546704007"
"Egypt","3388","0.0130665282982513"
"India","1423006","5.488119293855191"
"Sri Lanka","14104","0.05439501626875334"
"Mexico","6931578","26.733075586935108"
"Myanmar","18320","0.07065489918062687"
"Malaysia","1553","0.005989468254776938"
"Pakistan","284185","1.096018696705592"
"Peru","969581","3.739391255592324"
"Philippines","3859232","14.883932744249398"
"Thailand","4710328","18.166361896707627"
"United States of America","609610","2.3510880507370056"
"Vietnam","288288","1.1118427715602923"
"South Africa","38120","0.1470177268976799"
"Taiwan","5565973","21.466335215998427"
