"Name","Gross Import","Share"
"Benin","1657","0.0018573160075453436"
"China","6850","0.007678101781343152"
"Costa Rica","4463446","5.003035428252404"
"Ecuador","11954","0.01339912827652205"
"Ghana","2992","0.0033537051868290087"
"Indonesia","1249989","1.4011011339502693"
"Cambodia","19546","0.02190893100994646"
"South Korea","24337","0.027279118693802666"
"Sri Lanka","59117","0.0662636997091479"
"Mexico","8141","0.00912517176670286"
"Malaysia","607017","0.6803997531395002"
"Philippines","81648952","91.51955675854036"
"Portugal","5422","0.006077469760356579"
"Thailand","57348","0.06428084393525067"
"Tanzania","33865","0.037958965959881144"
"Uganda","29018","0.03252600839284899"
"United States of America","18044","0.020225353071905962"
"Vietnam","2291","0.00256796075635871"
"Taiwan","964773","1.0814051518090184"
