"Name","Gross Import","Share"
"Australia","17004126","83.58912444924447"
"Spain","4413","0.021693488168372535"
"France","1744","0.008573180005810492"
"United Kingdom","18159","0.08926627048481235"
"India","75482","0.3710554892193736"
"Italy","24520","0.12053576476059248"
"Japan","1742476","8.565688304933856"
"Netherlands","5136","0.025247621851974017"
"New Zealand","727435","3.575935319682773"
"Singapore","355326","1.7467166047847587"
"Ukraine","928","0.004561875599422097"
"United States of America","382765","1.881601631263792"
