"Name","Gross Import","Share"
"United Arab Emirates","1199","0.001364327997968824"
"Australia","1884023","2.143807612774994"
"Brunei","258536","0.29418507363041524"
"Canada","215825","0.24558472907558085"
"Switzerland","3699","0.004209048594234095"
"Chile","713520","0.8119060159388785"
"China","394370","0.44874898461965396"
"Germany","1898","0.0021597118766845938"
"Spain","49343","0.0561468193526069"
"Fiji","8844","0.010063483581348023"
"France","52164","0.05935680207343264"
"United Kingdom","147775","0.16815143444524017"
"Hong Kong","7848","0.008930146895795939"
"Indonesia","36723905","41.78769957151567"
"India","154383","0.17567059992528855"
"Japan","907501","1.0326347143325318"
"South Korea","75859","0.08631906388483487"
"Macao","2243","0.002552283318969201"
"Myanmar","1149074","1.307517789773168"
"Netherlands","676950","0.7702934430567101"
"Norway","18916881","21.52529639911967"
"Nepal","7487","0.008519369241695234"
"New Zealand","189678","0.21583236530336164"
"Pakistan","55030","0.06261798976499115"
"Philippines","22845","0.025995056808672045"
"Singapore","1882726","2.1423317717296513"
"Thailand","21985987","25.017596019248202"
"Trinidad and Tobago","52282","0.05949107288557637"
"United States of America","11644","0.013249570649165127"
"Vietnam","1115903","1.2697728990136818"
"Yemen","156086","0.17760842359546444"
"Taiwan","56585","0.06438740597586814"
