"Name","Gross Import","Share"
"United Arab Emirates","104869","0.288434243145262"
"Australia","11207230","30.824637431508588"
"Belgium","596367","1.6402622727575398"
"Brunei","34473","0.09481537598286068"
"Canada","25255","0.06946196502907047"
"Switzerland","23071","0.0634550384155884"
"China","14247","0.03918529462558571"
"Germany","3267807","8.98785569414974"
"Denmark","967760","2.661750594992407"
"Spain","27478","0.07557615818922188"
"France","3173251","8.727786576537829"
"United Kingdom","132233","0.3636968529672966"
"Indonesia","381836","1.0502110029237834"
"India","66729","0.18353306135121136"
"Ireland","33650","0.0925517768057106"
"Iran","18608","0.05117989488263486"
"Italy","29839","0.08206990989912626"
"South Korea","45937","0.12634623985509447"
"Myanmar","2524","0.0069420708664966885"
"Netherlands","593011","1.6310318488954307"
"New Zealand","10532835","28.969765053532747"
"Saudi Arabia","1113","0.0030612222164860597"
"Singapore","1709260","4.701190193846328"
"Thailand","619691","1.7044131685143422"
"United States of America","2505360","6.890802958037299"
"Vietnam","240224","0.6607179206946516"
"Taiwan","3369","0.00926617937766535"
