"Name","Gross Import","Share"
"United Arab Emirates","10996","0.31914952282850767"
"Australia","472769","13.72171705693986"
"Switzerland","3026","0.0878270694870011"
"China","236403","6.861395475193496"
"Germany","229980","6.6749733776009625"
"Denmark","28548","0.8285813548297777"
"France","90578","2.6289492068716407"
"United Kingdom","4186","0.12149508026192551"
"Indonesia","2173","0.06306947190854374"
"India","11399","0.3308462541580719"
"Japan","6203","0.18003678520418634"
"Kenya","17246","0.5005504429520228"
"Mozambique","15024","0.4360587878297107"
"Malaysia","88680","2.5738613754485318"
"New Zealand","1194781","34.67749963937497"
"Philippines","269239","7.814432373301616"
"Singapore","125704","3.6484514021130163"
"Thailand","568689","16.505713258259476"
"Vietnam","69783","2.025392065436681"
