"Name","Gross Import","Share"
"Australia","36553","0.07323516632755524"
"Germany","5336","0.010690855675972827"
"Ecuador","37751940","75.63728298875292"
"Indonesia","5355","0.010728922815748592"
"India","17835","0.035733023047409176"
"Sri Lanka","22855","0.04579076208290086"
"Mexico","6405848","12.83433216833193"
"Netherlands","4593","0.009202230157373162"
"Panama","451807","0.9052105379299579"
"Philippines","5160374","10.338983071222376"
"Thailand","19685","0.039439560341365275"
"Tonga","3804","0.0076214420898426975"
"Vietnam","7941","0.015910060892597493"
"Samoa","17888","0.03583921033204684"
