"Name","Gross Import","Share"
"Australia","3350040","75.20552751782293"
"Belgium","3350","0.07520462955209693"
"Germany","32145","0.7216277065528824"
"Spain","2642","0.059310636201982125"
"Fiji","17070","0.38320687356844624"
"Hong Kong","11784","0.26454070287818215"
"India","25111","0.5637204336366287"
"South Korea","3353","0.07527197698154658"
"Malaysia","6884","0.15453990144377172"
"Netherlands","959153","21.532162999636547"
"Philippines","8525","0.19137894535272432"
"Sweden","1876","0.04211459254917429"
"Thailand","12066","0.27087136124644823"
"United States of America","20514","0.4605217225766318"
