"Name","Gross Import","Share"
"United Arab Emirates","1255","0.002952189722625427"
"Argentina","83229","0.1957831063142563"
"Australia","18311978","43.07604243230511"
"Belgium","213464","0.5021404198808878"
"Bangladesh","12036","0.0283127932283025"
"Brazil","14245","0.03350911760860494"
"Canada","25218","0.05932137085670758"
"China","138407","0.32558065572861944"
"Germany","2762","0.006497169732184405"
"Denmark","9742","0.022916519743280406"
"Spain","118605","0.2789995713561663"
"Fiji","49833","0.11722427924110987"
"United Kingdom","1508","0.0035473323519674455"
"India","6216597","14.623564759445468"
"Iran","2171","0.005106935368780719"
"Italy","314489","0.7397858116962135"
"Japan","44829","0.10545315782914362"
"Cambodia","405798","0.9545758446708787"
"South Korea","42712","0.1004732489504201"
"Laos","12762","0.030020593816849163"
"Sri Lanka","68773","0.16177764445746493"
"Malaysia","23467","0.05520241929948278"
"Pakistan","1876239","4.413556568118731"
"Russia","15131","0.03559329298250624"
"Togo","14373","0.033810217436888654"
"Thailand","9330024","21.94741112721002"
"United States of America","3837218","9.026450631930913"
"Vietnam","1263246","2.971587138125641"
"South Africa","6710","0.01578421756081005"
"Taiwan","53997","0.12701943302996427"
