"Name","Gross Import","Share"
"Australia","5226445","68.36269587691368"
"Belgium","48610","0.6358261966933114"
"Brazil","2455","0.03211177356268421"
"Canada","36267","0.47437787853273655"
"Denmark","32068","0.4194543195959907"
"Spain","6999","0.09154798499601906"
"France","7196","0.09412477497233221"
"United Kingdom","304566","3.98376962398879"
"Ireland","355195","4.64600464790127"
"Italy","1057","0.013825720837375646"
"Japan","557855","7.29682828546281"
"United States of America","1066458","13.949432916543007"
