"Name","Gross Import","Share"
"United Arab Emirates","2151","0.008333314608234648"
"Argentina","812285","3.1469207143421105"
"Australia","5017997","19.44051497172368"
"Brazil","370556","1.4355926210920493"
"China","2412629","9.346906782868688"
"Spain","1204","0.004664486651936084"
"Indonesia","8975001","34.77057505449585"
"India","125965","0.48800835640459195"
"Kenya","74893","0.2901473412154893"
"Myanmar","7942287","30.7696774894896"
"Mozambique","5344","0.02070350221590235"
"Singapore","3826","0.014822529842448053"
"Thailand","30020","0.11630223363049935"
"United States of America","10013","0.03879194754637542"
"Uzbekistan","15284","0.059212636202816527"
"Vietnam","7817","0.03028429581244549"
"Taiwan","4786","0.01854172185728081"
