"Name","Gross Import","Share"
"Australia","11105","0.06991843311185886"
"Canada","18090","0.11389684421373494"
"France","70061","0.44111259272849557"
"Indonesia","75085","0.4727443088882415"
"Japan","7353","0.046295383941602715"
"Mauritius","22094","0.13910651608945607"
"Malaysia","46359","0.2918819127089297"
"Norway","1330980","8.380012256030787"
"New Zealand","25957","0.16342843478473842"
"Singapore","140380","0.8838495848935386"
"Thailand","6507","0.04096886485897033"
"United States of America","59178","0.3725918986666892"
"Vietnam","22079","0.1390120742617498"
"Taiwan","14047565","88.4451808948212"
