"Name","Gross Import","Share"
"Brazil","2507","0.0003080378140044801"
"Switzerland","30318","0.0037252056023086666"
"China","40065104","4.92284286159639"
"Spain","7339","0.0009017509042596246"
"France","15148","0.0018612512192021794"
"United Kingdom","17128","0.0021045359705898423"
"India","48634725","5.975801505268861"
"Italy","65983","0.008107402904450582"
"Japan","55568","0.006827700537934163"
"Cambodia","33622","0.004131171672301008"
"South Korea","26595","0.0032677565470479245"
"Myanmar","11712007","1.439067025881599"
"Pakistan","18304779","2.2491280849601565"
"Singapore","38881","0.004777350716517028"
"Thailand","383486611","47.11941657456178"
"Ukraine","1004","0.00012336257090566334"
"United States of America","130944","0.01608923155843743"
"Vietnam","311181167","38.235168106120085"
"Taiwan","51689","0.0063510835931701514"
