"Name","Gross Import","Share"
"Australia","4053","0.01705752945359342"
"China","2953","0.012428049463721039"
"Costa Rica","8978","0.03778497395370385"
"Ecuador","1181610","4.9729453189391855"
"Indonesia","11306","0.04758263705954286"
"India","12636","0.053180099229115825"
"Mexico","761223","3.203696951209658"
"Malaysia","7627153","32.099774721086455"
"Philippines","13870355","58.37502811356939"
"Thailand","248449","1.0456269763670938"
"United States of America","1019","0.00428858191789087"
"Vietnam","22517","0.09476545539268764"
"Taiwan","8516","0.03584059235795745"
