"Name","Gross Import","Share"
"Argentina","407844","6.19129304822251"
"Australia","653813","9.925235829722896"
"Bangladesh","75616","1.1478918781063183"
"China","206440","3.1338711293412556"
"Germany","3738","0.056744866699659044"
"United Kingdom","4417","0.06705245484547727"
"Hong Kong","9976","0.1514410888699301"
"Indonesia","8811","0.13375575722062488"
"India","608330","9.234779229374956"
"Madagascar","36542","0.5547273726428413"
"Myanmar","3292290","49.97874724093646"
"Malaysia","74034","1.1238762603645152"
"Thailand","1134720","17.225664831845133"
"Uzbekistan","69171","1.0500532837030807"
"Taiwan","1638","0.024865728104344974"
