"Name","Gross Import","Share"
"Australia","5040912","3.471816652372693"
"Bangladesh","16406","0.011299269655734202"
"Canada","237249","0.1634000016185105"
"China","2198633","1.514259852553691"
"Germany","39645","0.02730461693902124"
"Spain","21875","0.015065922450273418"
"France","1147663","0.7904275088936293"
"Faroe Islands","21233","0.01462375914910425"
"United Kingdom","2402660","1.6547789364285224"
"Greece","44940","0.030951431081841705"
"Hong Kong","167511","0.11536949648309715"
"Indonesia","34077063","23.469823473878016"
"India","2032733","1.3999998966908174"
"Italy","5031","0.0034649899815920255"
"Japan","3423540","2.3578874580758424"
"South Korea","64286","0.04427556071489265"
"Sri Lanka","12180","0.008388705620312239"
"Morocco","3298","0.0022714245595886503"
"Maldives","12890","0.008877702417555398"
"Malta","25032","0.017240236378296876"
"Myanmar","3349685","2.307021460244302"
"Mauritius","421911","0.2905818700305055"
"Malaysia","7573146","5.215836815570209"
"Netherlands","355946","0.24514993519931527"
"Norway","78024054","53.73734156891179"
"New Zealand","579736","0.3992803482345924"
"Pakistan","2098","0.0014449510994593657"
"Philippines","84922","0.05848814931758259"
"Thailand","2285175","1.5738637410424483"
"Turkey","31931","0.02199177004615682"
"United States of America","207902","0.14318790442316545"
"Vietnam","1254166","0.8637790946637535"
"Taiwan","29773","0.020505495273690992"
