"Name","Gross Import","Share"
"United Arab Emirates","27262","0.042795826108731665"
"Australia","32927864","51.69008663619563"
"Austria","66091","0.1037495027273195"
"Belgium","490592","0.7701302150368602"
"Bahrain","992","0.0015572393624775074"
"Brazil","9358","0.014690167292403746"
"Switzerland","237913","0.3734752907712815"
"China","207680","0.32601559556383947"
"Germany","5233801","8.21600900461103"
"Denmark","1550962","2.43469664930125"
"France","5877483","9.226459556343134"
"United Kingdom","342062","0.536968156056231"
"Greece","61203","0.09607633135253114"
"Hong Kong","9019","0.014158005857040967"
"Indonesia","2668558","4.189096329288561"
"India","1912347","3.0019980071731593"
"Ireland","154952","0.24324330009537778"
"Italy","57442","0.09017232203571873"
"Japan","711087","1.1162627686956081"
"South Korea","194226","0.3048955367102383"
"Malaysia","426596","0.6696694385841279"
"Netherlands","1504623","2.361953791621971"
"New Zealand","3985877","6.257020724187258"
"Philippines","69708","0.10942746116893357"
"Poland","1021655","1.6037917145886673"
"Saudi Arabia","6218","0.009761002374884217"
"Slovenia","387143","0.6077362081730139"
"Sweden","2360","0.0037047226768618124"
"Thailand","2024758","3.178460541422614"
"Turkey","20565","0.03228289061426406"
"Ukraine","57296","0.08994313156503153"
"Uruguay","203309","0.31915400962292295"
"United States of America","923860","1.450273344171845"
"Vietnam","327612","0.5142845786491745"
