"Name","Gross Import","Share"
"Australia","2281180","1.1195973921534872"
"Belgium","3858","0.0018934966723047517"
"Bangladesh","159520","0.0782920137807294"
"Bahrain","1731","0.0008495704353964556"
"Brazil","66909","0.03283876849332261"
"Canada","8790","0.004314109836588587"
"China","96488","0.047356067111804276"
"Germany","1570","0.0007705520413474495"
"Spain","18226","0.00894527484433033"
"France","1300","0.0006380367221348308"
"United Kingdom","27334","0.013415458279102666"
"Guyana","515","0.00025276070146110604"
"Indonesia","175027","0.08590281028084079"
"India","51633130","25.341410014431997"
"Italy","184070","0.0903410918795064"
"Japan","4827667","2.369406790952686"
"Cambodia","2118018","1.0395178939558232"
"South Korea","154066","0.0756152043326345"
"Sri Lanka","67214","0.03298846172428502"
"Myanmar","5087646","2.4970038286326024"
"Mongolia","3558","0.0017462574287351754"
"Mozambique","297","0.00014576685113388058"
"Malaysia","447723","0.21974131949567144"
"Niger","160558","0.07880146156348013"
"Netherlands","4424","0.002171288045172686"
"New Zealand","6645","0.003261349245066116"
"Pakistan","660780","0.32430915788634884"
"Thailand","92571271","45.43374639438086"
"United States of America","4541283","2.2288502458512545"
"Vietnam","38073823","18.68653632773979"
"Taiwan","365407","0.17934083425009395"
