"Name","Gross Import","Share"
"Canada","4072","0.0015587919296702177"
"China","8509","0.0032573085779872"
"Colombia","9838","0.003766059676840766"
"Costa Rica","59490","0.02277321510218105"
"Ecuador","23490828","8.992463926245376"
"Guatemala","12663635","4.847733801151597"
"Indonesia","636024","0.243474724527645"
"India","15232","0.005830923053226118"
"Sri Lanka","3868","0.0014806992102073676"
"Mexico","5200038","1.9906132780890125"
"Myanmar","41746","0.015980679738706507"
"Peru","16289861","6.235880123342244"
"Philippines","198696624","76.06254762866347"
"Thailand","69082","0.026445104146728377"
"United States of America","17226","0.00659424110523064"
"Vietnam","4021864","1.539599495439877"
