"Name","Gross Import","Share"
"United Arab Emirates","2554","0.0008710788232439969"
"Australia","10292760","3.5104954067082543"
"China","132712094","45.26338867336206"
"Germany","2025","0.0006906556840521118"
"India","415498","0.14171163230236267"
"Italy","9083","0.0030978891744421395"
"Cambodia","6498","0.0022162373506027767"
"Myanmar","79215","0.027017427166512613"
"Mauritius","6452","0.0022005483819773955"
"Netherlands","11899","0.004058326905943743"
"Pakistan","245903","0.08386879243232913"
"Singapore","33209","0.0113264121539193"
"Thailand","4374104","1.4918517482642364"
"United States of America","126471417","43.13491507218513"
"Vietnam","18536932","6.322290099104929"
