"Name","Gross Import","Share"
"Argentina","253818","1.3659057403526293"
"Australia","3735193","20.10070822410136"
"Austria","17865","0.09613938354017337"
"Bangladesh","56016","0.30144661116072496"
"Brazil","38157","0.20533951624642574"
"China","2046299","11.012030472928812"
"Indonesia","9251373","49.785686936479394"
"Cambodia","134303","0.7227432201285141"
"Myanmar","1974881","10.627698959149237"
"Thailand","266427","1.4337602876270794"
"United States of America","383903","2.0659500564916415"
"South Africa","424160","2.282590591794007"
