"Name","Gross Import","Share"
"Australia","421047","0.23978706688405163"
"Canada","4918345","2.801006826966683"
"Chile","911804","0.5192741112824597"
"China","59791140","34.051167889223045"
"Denmark","22049","0.012556947413771988"
"Spain","3185","0.0018138635544860892"
"Fiji","258089","0.14698217611107073"
"France","19717","0.011228868980785628"
"Faroe Islands","1536852","0.8752401354596719"
"United Kingdom","12184040","6.9388339410991176"
"Hong Kong","22787","0.012977239816663898"
"Indonesia","6728861","3.8320991306445276"
"India","3494146","1.9899227891533284"
"Iceland","88018","0.050126418316721065"
"Japan","3588537","2.0436786430847245"
"South Korea","24691","0.014061571436048989"
"Sri Lanka","2814647","1.6029468169681655"
"Macao","6887","0.003922159591756891"
"Maldives","2054128","1.1698298007690429"
"Myanmar","28705","0.016347552066412304"
"Mauritania","7719","0.004395985173336931"
"Malaysia","43112","0.024552365953219555"
"Netherlands","12556","0.007150665868171847"
"Norway","71473517","40.70430379819213"
"New Zealand","534257","0.30426037708919135"
"Pakistan","200394","0.11412476393647891"
"Philippines","2669110","1.5200632188114178"
"Suriname","5864","0.0033395591470977795"
"Thailand","374435","0.21324144427755065"
"United States of America","542556","0.30898667336507213"
"Vietnam","810844","0.4617771993638049"
