"Name","Gross Import","Share"
"Australia","3966041","6.246319930301492"
"Belgium","3455","0.005441455436086429"
"Canada","5617","0.008846499329811134"
"China","11753","0.01851039818822686"
"Spain","18520","0.029168091078529856"
"India","87764","0.13822399273305044"
"Italy","317382","0.49986107357915566"
"Japan","3125806","4.922991042214639"
"Cambodia","97129","0.1529734081191429"
"South Korea","1870","0.002945158224451989"
"Myanmar","634947","1.0000103631770678"
"Mauritius","525","0.0008268492341375904"
"Pakistan","27076","0.04264337116858933"
"Russia","1070","0.0016851974867185175"
"Singapore","21066","0.03317791612636663"
"Thailand","16002080","25.202490652587528"
"United States of America","26335380","41.476931016614124"
"Vietnam","12836561","20.21695358440088"
